module,path,field,english,hindi,santali_new,translator_note
fire-explosion,fire-explosion.steps[5].choices[0].text,option,Help them restart — the fire is out and the shift is behind,उनकी मदद करें — आग बुझ गई है और शिफ्ट पिछड़ रही है,,
fire-explosion,fire-explosion.steps[5].choices[0].feedback,feedback,The ignition source has not been eliminated and the area has not been re-checked. Restarting hot work over ground that has just burned is how a second fire starts in the same shift.,प्रज्वलन स्रोत हटाया नहीं गया है और क्षेत्र की दोबारा जांच नहीं हुई है। जो ज़मीन अभी जली है उस पर हॉट वर्क दोबारा शुरू करना ऐसे ही उसी शिफ्ट में दूसरी आग लगती है।,,
fire-explosion,fire-explosion.steps[5].choices[1].text,option,Stop the restart until the hot-work permit is re-issued and the area re-inspected,हॉट-वर्क परमिट दोबारा जारी होने और क्षेत्र की दोबारा जांच तक शुरू न होने दें,,
fire-explosion,fire-explosion.steps[5].choices[1].feedback,feedback,Correct. A hot-work permit is void once an incident occurs. Re-inspection and re-issue is the control that stops a repeat.,सही। घटना होने पर हॉट-वर्क परमिट रद्द हो जाता है। दोबारा जांच और जारी करना वही नियंत्रण है जो दोहराव रोकता है।,,
gas-leak-confined-space,gas-leak-confined-space.title,title,Gas Leak & Confined Space Protocol,गैस रिसाव और सीमित स्थान प्रोटोकॉल,,
gas-leak-confined-space,gas-leak-confined-space.intro,intro,You are about to enter a confined underground shaft in a Jharkhand coal mine to inspect a suspected gas leak. Protocol requires a hazard check before entry.,आप झारखंड की एक कोयला खान में संदिग्ध गैस रिसाव की जांच के लिए एक सीमित भूमिगत सुरंग में प्रवेश करने वाले हैं। प्रोटोकॉल के अनुसार प्रवेश से पहले खतरा जांच आवश्यक है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[0].prompt,prompt,"Before entry, your gas detector shows a low-battery warning. What do you do?","प्रवेश से पहले, आपका गैस डिटेक्टर कम बैटरी की चेतावनी दिखा रहा है। आप क्या करेंगे?",,
gas-leak-confined-space,gas-leak-confined-space.steps[0].choices[0].text,option,"Enter anyway, the reading still seems to work","फिर भी प्रवेश करें, रीडिंग अभी भी काम कर रही लगती है",,
gas-leak-confined-space,gas-leak-confined-space.steps[0].choices[0].feedback,feedback,A malfunctioning gas detector cannot be trusted in a confined space — methane and CO buildup are silent killers. Hazard zone recognition depends entirely on working equipment.,खराब गैस डिटेक्टर पर सीमित स्थान में भरोसा नहीं किया जा सकता — मीथेन और सीओ का जमाव खामोश हत्यारे हैं। खतरा क्षेत्र पहचान पूरी तरह काम करने वाले उपकरण पर निर्भर करती है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[0].choices[1].text,option,Report it and swap for a fully charged detector before entry,इसकी रिपोर्ट करें और प्रवेश से पहले पूरी तरह चार्ज डिटेक्टर लें,,
gas-leak-confined-space,gas-leak-confined-space.steps[0].choices[1].feedback,feedback,Correct. Confirming hazard zone readings with reliable equipment is the first step of confined space protocol.,सही। विश्वसनीय उपकरण से खतरा क्षेत्र रीडिंग की पुष्टि करना सीमित स्थान प्रोटोकॉल का पहला कदम है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[1].prompt,prompt,The detector confirms elevated gas levels in the shaft. What PPE do you select before entry?,डिटेक्टर सुरंग में बढ़े हुए गैस स्तर की पुष्टि करता है। प्रवेश से पहले आप कौन सा पीपीई चुनते हैं?,,
gas-leak-confined-space,gas-leak-confined-space.steps[1].choices[0].text,option,"A standard dust mask, since it is quick to put on","एक सामान्य धूल मास्क, क्योंकि इसे जल्दी पहना जा सकता है",,
gas-leak-confined-space,gas-leak-confined-space.steps[1].choices[0].feedback,feedback,A dust mask does not filter gas. Selecting the wrong PPE for a confirmed gas hazard is one of the most dangerous mistakes in confined space work.,धूल मास्क गैस को फिल्टर नहीं करता। पुष्टि किए गए गैस खतरे के लिए गलत पीपीई चुनना सीमित स्थान कार्य में सबसे खतरनाक गलतियों में से एक है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[1].choices[1].text,option,A self-contained breathing apparatus (SCBA) or gas-rated respirator rated for the confirmed gas,पुष्टि की गई गैस के लिए रेटेड सेल्फ-कंटेन्ड ब्रीदिंग एपेरेटस (SCBA) या गैस-रेटेड रेस्पिरेटर,,
gas-leak-confined-space,gas-leak-confined-space.steps[1].choices[1].feedback,feedback,Correct. PPE selection must match the specific hazard — gas-rated respiratory protection is mandatory once elevated gas is confirmed.,सही। पीपीई का चुनाव विशिष्ट खतरे से मेल खाना चाहिए — बढ़ी हुई गैस की पुष्टि होने पर गैस-रेटेड श्वसन सुरक्षा अनिवार्य है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[2].prompt,prompt,You are ready to enter the confined space. Your usual buddy is on a break.,आप सीमित स्थान में प्रवेश के लिए तैयार हैं। आपका सामान्य साथी अवकाश पर है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[2].choices[0].text,option,Enter alone since it will only take a few minutes,अकेले प्रवेश करें क्योंकि इसमें केवल कुछ मिनट लगेंगे,,
gas-leak-confined-space,gas-leak-confined-space.steps[2].choices[0].feedback,feedback,"Confined space entry alone is a critical violation. If you are overcome by gas, no one will know until it is too late — the buddy system exists specifically for this scenario.","सीमित स्थान में अकेले प्रवेश करना एक गंभीर उल्लंघन है। अगर आप गैस से प्रभावित हो जाते हैं, तो किसी को पता नहीं चलेगा जब तक बहुत देर न हो जाए — बडी सिस्टम विशेष रूप से इस स्थिति के लिए है।",,
gas-leak-confined-space,gas-leak-confined-space.steps[2].choices[1].text,option,Wait for a buddy or assign a stand-by attendant before entry,प्रवेश से पहले साथी की प्रतीक्षा करें या एक स्टैंड-बाय अटेंडेंट नियुक्त करें,,
gas-leak-confined-space,gas-leak-confined-space.steps[2].choices[1].feedback,feedback,Correct. The buddy system is mandatory for confined space entry — a second person monitoring from outside can call for rescue immediately if something goes wrong.,सही। सीमित स्थान प्रवेश के लिए बडी सिस्टम अनिवार्य है — बाहर से निगरानी करने वाला दूसरा व्यक्ति कुछ गलत होने पर तुरंत बचाव के लिए बुला सकता है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[3].prompt,prompt,"You are inside. Fifteen minutes in, your detector alarms and the reading is climbing.",आप अंदर हैं। पंद्रह मिनट बाद आपका डिटेक्टर अलार्म बजाता है और रीडिंग बढ़ रही है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[3].choices[0].text,option,Finish the task quickly — you are nearly done and it is only just alarming,काम जल्दी पूरा करें — आप लगभग पूरा कर चुके हैं और अलार्म अभी शुरू ही हुआ है,,
gas-leak-confined-space,gas-leak-confined-space.steps[3].choices[0].feedback,feedback,"A climbing reading means the atmosphere is getting worse, not that you have time. ""Nearly done"" is the reasoning found in most confined-space fatality reports. The alarm is the point at which you leave, not the point at which you hurry.","बढ़ती रीडिंग का मतलब है वातावरण खराब हो रहा है, यह नहीं कि आपके पास समय है। ""लगभग पूरा"" वही तर्क है जो सीमित स्थान की अधिकतर मौतों की रिपोर्ट में मिलता है। अलार्म वह बिंदु है जहां आप बाहर निकलते हैं, जल्दी नहीं करते।",,
gas-leak-confined-space,gas-leak-confined-space.steps[3].choices[1].text,option,Leave immediately by the route you came in and tell the attendant why,जिस रास्ते से आए थे उसी से तुरंत बाहर निकलें और अटेंडेंट को कारण बताएं,,
gas-leak-confined-space,gas-leak-confined-space.steps[3].choices[1].feedback,feedback,Correct. An alarm is an exit instruction. Leaving by the known route and reporting the reading lets the space be re-tested before anyone re-enters.,सही। अलार्म एक निकास निर्देश है। ज्ञात रास्ते से निकलना और रीडिंग बताना यह सुनिश्चित करता है कि किसी के दोबारा प्रवेश से पहले स्थान की दोबारा जांच हो।,,
gas-leak-confined-space,gas-leak-confined-space.steps[3].choices[2].text,option,Take the detector to the far end to find where the gas is coming from,डिटेक्टर लेकर दूर छोर तक जाएं और देखें गैस कहां से आ रही है,,
gas-leak-confined-space,gas-leak-confined-space.steps[3].choices[2].feedback,feedback,"Locating the source is a job for a re-entry with the right equipment, not for the person currently breathing it. Walking further in takes you further from the exit as the atmosphere deteriorates.","स्रोत खोजना सही उपकरण के साथ दोबारा प्रवेश का काम है, उस व्यक्ति का नहीं जो अभी वह गैस सांस में ले रहा है। और अंदर जाना आपको निकास से दूर ले जाता है जबकि वातावरण बिगड़ रहा है।",,
gas-leak-confined-space,gas-leak-confined-space.steps[4].prompt,prompt,Outside now. The attendant says a contractor lifted the barrier and went in to look for you while you were exiting.,अब आप बाहर हैं। अटेंडेंट बताता है कि जब आप निकल रहे थे तब एक ठेका मज़दूर बैरियर उठाकर आपको खोजने अंदर चला गया।,,
gas-leak-confined-space,gas-leak-confined-space.steps[4].choices[0].text,option,Go back in after him — he does not know the layout,उसके पीछे अंदर जाएं — उसे लेआउट नहीं पता,,
gas-leak-confined-space,gas-leak-confined-space.steps[4].choices[0].feedback,feedback,"Two untrained people in an alarming space is two casualties. This is the exact sequence that produces multiple-fatality confined-space incidents, and good intent is what drives it every time.","अलार्म बजते स्थान में दो अप्रशिक्षित लोग यानी दो हताहत। यही क्रम सीमित स्थान की कई-मौत वाली घटनाएं पैदा करता है, और हर बार अच्छी नीयत ही इसे चलाती है।",,
gas-leak-confined-space,gas-leak-confined-space.steps[4].choices[1].text,option,Raise the alarm for a trained rescue team and hold the entry so nobody else follows,प्रशिक्षित बचाव दल के लिए अलार्म बजाएं और प्रवेश रोकें ताकि कोई और न जाए,,
gas-leak-confined-space,gas-leak-confined-space.steps[4].choices[1].feedback,feedback,Correct. Controlling the entry point and calling equipped rescue is the only action that reduces the casualty count rather than adding to it.,सही। प्रवेश बिंदु को नियंत्रित करना और सुसज्जित बचाव बुलाना ही वह कार्रवाई है जो हताहतों की संख्या बढ़ाने के बजाय घटाती है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[5].prompt,prompt,The space has been ventilated. The supervisor asks you to go back in and finish the inspection.,स्थान की हवादारी कर दी गई है। सुपरवाइज़र आपसे दोबारा अंदर जाकर जांच पूरी करने को कहता है।,,
gas-leak-confined-space,gas-leak-confined-space.steps[5].choices[0].text,option,Re-enter — it has been ventilated and you know the space,दोबारा जाएं — हवादारी हो गई है और आप स्थान जानते हैं,,
gas-leak-confined-space,gas-leak-confined-space.steps[5].choices[0].feedback,feedback,"Ventilation is not evidence. Gas can stratify and pool low or in dead ends, and a space that reads clear at the opening can still be lethal three metres in. Re-entry requires a fresh test, not a ventilation run.","हवादारी सबूत नहीं है। गैस परतों में जम सकती है और नीचे या बंद कोनों में इकट्ठा हो सकती है, और जो स्थान मुहाने पर साफ पढ़ता है वह तीन मीटर अंदर जानलेवा हो सकता है। दोबारा प्रवेश के लिए नई जांच चाहिए, हवादारी नहीं।",,
gas-leak-confined-space,gas-leak-confined-space.steps[5].choices[1].text,option,Ask for a fresh atmospheric test at working depth and a new entry permit first,पहले काम की गहराई पर नई वायुमंडलीय जांच और नया प्रवेश परमिट मांगें,,
gas-leak-confined-space,gas-leak-confined-space.steps[5].choices[1].feedback,feedback,"Correct. The permit is void once the space alarms. A fresh test at the depth you will actually work at, and a re-issued permit, are what make re-entry defensible.",सही। स्थान में अलार्म बजने पर परमिट रद्द हो जाता है। जिस गहराई पर आप वास्तव में काम करेंगे वहां नई जांच और दोबारा जारी परमिट ही दोबारा प्रवेश को उचित बनाते हैं।,,
gas-leak-confined-space,gas-leak-confined-space.steps[5].choices[2].text,option,Re-enter but leave the door open and keep the detector in your hand,दोबारा जाएं लेकिन दरवाज़ा खुला रखें और डिटेक्टर हाथ में रखें,,
gas-leak-confined-space,gas-leak-confined-space.steps[5].choices[2].feedback,feedback,"Better instinct, still an unpermitted entry. Carrying a detector tells you when you are already in trouble; a pre-entry test at depth tells you not to go.","सोच बेहतर है, फिर भी यह बिना परमिट प्रवेश है। डिटेक्टर हाथ में रखना बताता है कि आप पहले से मुश्किल में हैं; गहराई पर प्रवेश-पूर्व जांच बताती है कि जाना ही नहीं है।",,
machinery-safety,machinery-safety.title,title,Machinery Safety & Lockout-Tagout,मशीनरी सुरक्षा और लॉकआउट-टैगआउट,,
machinery-safety,machinery-safety.intro,intro,You are operating a hydraulic metal press on a steel fabrication line. Your shift has just started.,आप एक स्टील फैब्रिकेशन लाइन पर हाइड्रोलिक मेटल प्रेस चला रहे हैं। आपकी शिफ्ट अभी शुरू हुई है।,,
machinery-safety,machinery-safety.steps[0].prompt,prompt,"You notice the machine guard on the press has been removed for ""faster access.""","आप देखते हैं कि प्रेस पर मशीन गार्ड को ""तेज़ पहुंच"" के लिए हटा दिया गया है।",,
machinery-safety,machinery-safety.steps[0].choices[0].text,option,Use the machine without the guard to save time,समय बचाने के लिए बिना गार्ड के मशीन का उपयोग करें,,
machinery-safety,machinery-safety.steps[0].choices[0].feedback,feedback,Machine guards exist specifically to prevent crush injuries. Operating without one is one of the most common causes of factory-floor amputations.,मशीन गार्ड कुचलने की चोटों को रोकते हैं। यह फैक्ट्री-फ्लोर विच्छेदन के सबसे सामान्य कारणों में से एक है।,,
machinery-safety,machinery-safety.steps[0].choices[1].text,option,Refuse to operate until the guard is reinstalled,गार्ड फिर से लगाए जाने तक चलाने से इनकार करें,,
machinery-safety,machinery-safety.steps[0].choices[1].feedback,feedback,"Correct. Never operate unguarded machinery — reinstalling safety guards is a prerequisite, not optional.",सही। बिना गार्ड वाली मशीनरी कभी न चलाएं।,,
machinery-safety,machinery-safety.steps[1].prompt,prompt,The press jams mid-cycle and needs to be cleared. What do you do?,प्रेस बीच चक्र में जाम हो जाता है और इसे साफ करने की जरूरत है। आप क्या करते हैं?,,
machinery-safety,machinery-safety.steps[1].choices[0].text,option,"Reach in quickly while the machine is still powered, since it looks stopped","मशीन चालू रहते हुए जल्दी से हाथ डालें, क्योंकि यह रुकी हुई लगती है",,
machinery-safety,machinery-safety.steps[1].choices[0].feedback,feedback,"A machine that ""looks stopped"" can still cycle unexpectedly. Reaching into unlocked machinery is a leading cause of severe crush and amputation injuries.","एक मशीन जो ""रुकी हुई लगती है"" वह अप्रत्याशित रूप से फिर से चालू हो सकती है। बिना लॉक की गई मशीनरी में हाथ डालना गंभीर कुचलने और विच्छेदन चोटों का प्रमुख कारण है।",,
machinery-safety,machinery-safety.steps[1].choices[1].text,option,"Follow lockout-tagout procedure — power down, lock the isolator, tag it, then clear the jam","लॉकआउट-टैगआउट प्रक्रिया का पालन करें — बिजली बंद करें, आइसोलेटर लॉक करें, टैग करें, फिर जाम साफ करें",,
machinery-safety,machinery-safety.steps[1].choices[1].feedback,feedback,Correct. Lockout-tagout (LOTO) ensures machinery cannot re-energize while you are clearing it — this is mandatory before any maintenance or unjamming task.,सही। लॉकआउट-टैगआउट (LOTO) सुनिश्चित करता है कि मशीनरी आपके इसे साफ करते समय फिर से चालू न हो — यह किसी भी रखरखाव या जाम हटाने के कार्य से पहले अनिवार्य है।,,
machinery-safety,machinery-safety.steps[2].prompt,prompt,A colleague asks you to help lift a heavy metal sheet using an improper bent-back posture.,एक सहकर्मी आपसे गलत झुकी हुई मुद्रा में भारी धातु शीट उठाने में मदद मांगता है।,,
machinery-safety,machinery-safety.steps[2].choices[0].text,option,Lift it quickly the way they suggest,उनके सुझाए तरीके से जल्दी उठाएं,,
machinery-safety,machinery-safety.steps[2].choices[0].feedback,feedback,Improper lifting posture is a leading cause of long-term spinal injury in manufacturing workers.,गलत उठाने की मुद्रा दीर्घकालिक रीढ़ की चोट का प्रमुख कारण है।,,
machinery-safety,machinery-safety.steps[2].choices[1].text,option,Suggest proper lifting technique or use lifting equipment,सही उठाने की तकनीक सुझाएं या उठाने के उपकरण का उपयोग करें,,
machinery-safety,machinery-safety.steps[2].choices[1].feedback,feedback,"Correct. Bend at the knees, keep the load close, or use mechanical aids — this prevents chronic injuries.","सही। घुटनों पर झुकें, भार को पास रखें, या मैकेनिकल सहायता का उपयोग करें।",,
machinery-safety,machinery-safety.steps[3].prompt,prompt,You have isolated the press and fitted your lock. A fitter arrives to help and asks you to open up so he can fit his own lock.,आपने प्रेस को आइसोलेट कर अपना लॉक लगा दिया है। एक फिटर मदद के लिए आता है और कहता है कि खोलो ताकि वह अपना लॉक लगा सके।,,
machinery-safety,machinery-safety.steps[3].choices[0].text,option,"Remove your lock so he can fit his, then put yours back on","अपना लॉक हटाएं ताकि वह अपना लगा सके, फिर अपना दोबारा लगाएं",,
machinery-safety,machinery-safety.steps[3].choices[0].feedback,feedback,"For the seconds your lock is off, the machine can be energised by anyone. Group isolation exists precisely so nobody has to remove a lock to add one — a multi-lock hasp takes both without ever leaving the isolation open.","जिन सेकंडों में आपका लॉक हटा है, मशीन कोई भी चालू कर सकता है। ग्रुप आइसोलेशन इसीलिए है कि लॉक जोड़ने के लिए किसी को लॉक हटाना न पड़े — मल्टी-लॉक हैस्प दोनों लॉक लेता है और आइसोलेशन कभी नहीं खुलता।",,
machinery-safety,machinery-safety.steps[3].choices[1].text,option,Fit a multi-lock hasp so both locks are on at once and the isolation is never broken,मल्टी-लॉक हैस्प लगाएं ताकि दोनों लॉक एक साथ रहें और आइसोलेशन कभी न टूटे,,
machinery-safety,machinery-safety.steps[3].choices[1].feedback,feedback,"Correct. Every person working on the machine holds their own lock, and the isolation stays continuous. The machine cannot start while any one lock remains.","सही। मशीन पर काम करने वाला हर व्यक्ति अपना लॉक रखता है और आइसोलेशन लगातार बना रहता है। जब तक एक भी लॉक लगा है, मशीन चालू नहीं हो सकती।",,
machinery-safety,machinery-safety.steps[3].choices[2].text,option,Tell him your lock covers both of you,उसे बताएं कि आपका लॉक दोनों के लिए काफी है,,
machinery-safety,machinery-safety.steps[3].choices[2].feedback,feedback,"One lock protects one person. If you finish first and remove it, he is still inside a machine that is now live and he has no way to know. Each worker holds their own.","एक लॉक एक व्यक्ति की रक्षा करता है। यदि आप पहले खत्म कर लॉक हटा देते हैं, तो वह अब चालू मशीन के अंदर है और उसे पता ही नहीं चलेगा। हर श्रमिक अपना लॉक रखता है।",,
machinery-safety,machinery-safety.steps[4].prompt,prompt,Work is done. You are about to remove your lock and hand the press back.,काम पूरा हो गया। आप अपना लॉक हटाकर प्रेस वापस सौंपने वाले हैं।,,
machinery-safety,machinery-safety.steps[4].choices[0].text,option,Remove the lock and press start to check it runs,लॉक हटाएं और स्टार्ट दबाकर देखें कि चल रही है,,
machinery-safety,machinery-safety.steps[4].choices[0].feedback,feedback,Nothing has confirmed the danger zone is clear. Starting a machine while a hand or a tool may still be inside it is the final step where LOTO discipline usually fails.,किसी ने पुष्टि नहीं की कि खतरा क्षेत्र खाली है। जब हाथ या औज़ार अभी भी अंदर हो सकता है तब मशीन चालू करना वही अंतिम चरण है जहां LOTO अनुशासन आमतौर पर टूटता है।,,
machinery-safety,machinery-safety.steps[4].choices[1].text,option,"Clear tools, confirm everyone is clear of the danger zone, refit the guard, then remove the lock","औज़ार हटाएं, पुष्टि करें कि सब खतरा क्षेत्र से दूर हैं, गार्ड लगाएं, फिर लॉक हटाएं",,
machinery-safety,machinery-safety.steps[4].choices[1].feedback,feedback,"Correct. The order matters: tools out, people clear, guard on, lock off. Reversing any of those turns a completed job into an incident.","सही। क्रम मायने रखता है: औज़ार बाहर, लोग दूर, गार्ड लगा, लॉक हटा। इनमें से कोई भी उलटने से पूरा हुआ काम एक घटना बन जाता है।",,
machinery-safety,machinery-safety.steps[5].prompt,prompt,"Next shift, the press runs but the two-hand start control now works with one hand.",अगली शिफ्ट में प्रेस चल रही है लेकिन दो-हाथ स्टार्ट कंट्रोल अब एक हाथ से भी काम कर रहा है।,,
