group,key,english,hindi,santali_current,santali_corrected,reviewer_note,edit_in_file
1 · Drill and hazard instructions,ar_permission_body,Jaagruk uses the compass to keep hazard markers pointing at the real thing.,जागरुक कंपास से खतरा मार्कर को असली जगह पर रखता है।,ᱡᱟᱜᱨᱩᱠ ᱠᱚᱢᱯᱟᱥ ᱛᱮ ᱡᱚᱠᱷᱚᱢ ᱢᱟᱨᱠᱚᱨ ᱠᱚ ᱥᱟᱹᱨᱤ ᱡᱤᱱᱤᱥ ᱛᱮ ᱩᱫᱩᱜ ᱮᱫᱟᱭ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_permission_title,Motion access needed,मोशन अनुमति चाहिए,ᱢᱳᱥᱚᱱ ᱵᱚᱞᱚ ᱞᱟᱹᱠᱛᱤ,,,i18nSantali.js
1 · Drill and hazard instructions,ar_recentre,Re-centre,री-सेंटर,ᱫᱚᱦᱲᱟ ᱛᱷᱤᱠ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_relative_heading,No compass reading — markers may drift. Face the main exit and re-centre.,कंपास रीडिंग नहीं — मार्कर खिसक सकते हैं। मुख्य निकास की ओर मुड़ें और री-सेंटर करें।,ᱠᱚᱢᱯᱟᱥ ᱯᱟᱲᱦᱟᱣ ᱵᱟᱝ — ᱢᱟᱨᱠᱚᱨ ᱠᱚ ᱚᱲᱟᱜᱚᱜᱼᱟ ᱾ ᱢᱟᱲᱟᱝ ᱚᱰᱚᱠ ᱦᱚᱨ ᱛᱮ ᱜᱩᱨᱮᱭ ᱠᱟᱛᱮ ᱫᱚᱦᱲᱟ ᱛᱷᱤᱠ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_retry,Retry camera,कैमरा फिर आज़माएं,ᱠᱮᱢᱨᱟ ᱫᱚᱦᱲᱟ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ,,,i18nSantali.js
1 · Drill and hazard instructions,ar_rotate_portrait,Hold the phone upright for accurate markers,सटीक मार्कर के लिए फ़ोन सीधा रखें,ᱯᱷᱚᱱ ᱥᱚᱡᱷᱮ ᱫᱚᱦᱚᱭ ᱢᱮ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_starting,Starting camera…,कैमरा शुरू हो रहा है…,ᱠᱮᱢᱨᱟ ᱮᱦᱚᱵ ᱠᱟᱱᱟ…,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_turn_around,Turn around to find it,ढूंढने के लिए घूमें,ᱧᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱜᱩᱨᱮᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_unavailable,AR view unavailable,एआर व्यू उपलब्ध नहीं,AR ᱧᱮᱞ ᱵᱟᱝ ᱦᱮᱸᱡᱚᱜ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_use_3d,Use 3D view,3D व्यू इस्तेमाल करें,3D ᱧᱮᱞ ᱵᱮᱵᱷᱟᱨ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_use_ar,Use camera AR,कैमरा एआर इस्तेमाल करें,ᱠᱮᱢᱨᱟ AR ᱵᱮᱵᱷᱟᱨ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_accuracy,Correct answers,सही उत्तर,ᱴᱷᱤᱠ ᱛᱮᱞᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_AUDIO,The microphone could not be opened.,माइक्रोफ़ोन नहीं खुला।,ᱢᱟᱭᱠ ᱵᱟᱝ ᱡᱷᱤᱡ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,as_decide_now,Decide now,अभी निर्णय लें,ᱛᱮᱦᱮᱸ ᱜᱮ ᱴᱷᱤᱠᱟᱹᱣ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_grade_fast,Decisive,निर्णायक,ᱞᱚᱜᱚᱱ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_grade_normal,Acceptable,स्वीकार्य,ᱦᱩᱭᱩᱜᱼᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_grade_slow,Hesitated,हिचकिचाहट,ᱴᱷᱤᱠᱟᱹᱣ ᱠᱮᱫᱟᱢ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_grade_unknown,Not timed,समय नहीं लिया,ᱚᱠᱛᱚ ᱵᱟᱝ ᱞᱮᱠᱷᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,as_hesitation_body,"In a real emergency that pause is the gap between walking out and being carried out. This is flagged for a repeat, not because you were wrong.","असली आपात स्थिति में वह ठहराव खुद चलकर निकलने और उठाकर ले जाने के बीच का अंतर है। इसे दोहराने के लिए चिह्नित किया गया है, गलती के कारण नहीं।",ᱥᱟᱹᱨᱤ ᱡᱚᱠᱷᱚᱢ ᱨᱮ ᱚᱱᱟ ᱫᱮᱨᱤ ᱡᱤᱭᱚᱸ ᱟᱨ ᱢᱚᱨᱚᱸ ᱛᱟᱞᱟ ᱨᱮᱭᱟᱜ ᱯᱷᱟᱨᱟᱠ ᱠᱟᱱᱟ ᱾,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_hesitation_title,"You knew it, but you were slow","आपको पता था, पर देर हुई","ᱟᱢ ᱵᱟᱰᱟᱭ ᱠᱟᱫᱟᱢ, ᱢᱮᱱᱠᱷᱟᱱ ᱫᱮᱨᱤ ᱦᱩᱭ ᱮᱱᱟ",,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_listen_again,Read it aloud again,फिर सुनाएं,ᱫᱚᱦᱲᱟ ᱟᱸᱡᱚᱢ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_listening,Listening…,सुन रहा है…,ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟ…,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_NETWORK,Speech recognition needs a connection on this device.,इस डिवाइस पर वाक् पहचान को कनेक्शन चाहिए।,ᱱᱚᱶᱟ ᱡᱤᱱᱤᱥ ᱨᱮ ᱨᱚᱲ ᱵᱟᱰᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱡᱚᱲᱟᱣ ᱞᱟᱹᱠᱛᱤ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,as_NO_MATCH,"Did not catch that. Say ""one"" or ""two"", or tap.","समझ नहीं आया। ""एक"" या ""दो"" बोलें, या टैप करें।","ᱵᱟᱝ ᱟᱸᱡᱚᱢ ᱞᱮᱱᱟ ᱾ ""ᱢᱤᱫ"" ᱥᱮ ""ᱵᱟᱨ"" ᱨᱚᱲ ᱢᱮ, ᱥᱮ ᱛᱚᱯᱟᱣ ᱢᱮ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,as_NO_SPEECH,Heard nothing. Try again closer to the phone.,कुछ सुना नहीं। फ़ोन के पास बोलें।,ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱝ ᱟᱸᱡᱚᱢ ᱞᱮᱱᱟ ᱾ ᱯᱷᱚᱱ ᱱᱟᱜᱟᱢ ᱨᱮ ᱨᱚᱲ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,as_PERMISSION_DENIED,"Microphone permission was refused, so voice answers are off.","माइक्रोफ़ोन अनुमति नहीं मिली, इसलिए आवाज़ से उत्तर बंद है।","ᱢᱟᱭᱠ ᱦᱩᱠᱩᱢ ᱵᱟᱝ ᱧᱟᱢ ᱞᱮᱱᱟ, ᱚᱱᱟᱛᱮ ᱨᱚᱲ ᱛᱮ ᱛᱮᱞᱟ ᱵᱚᱸᱫᱚ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,as_readiness,Readiness,तैयारी,ᱛᱮᱭᱟᱨᱤ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_say_one_or_two,"Say ""one"" or ""two""","""एक"" या ""दो"" बोलें","""ᱢᱤᱫ"" ᱥᱮ ""ᱵᱟᱨ"" ᱨᱚᱲ",,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_speak_answer,Speak your answer,बोलकर उत्तर दें,ᱨᱚᱲ ᱠᱟᱛᱮ ᱛᱮᱞᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_speed,Reaction speed,प्रतिक्रिया गति,ᱛᱮᱞᱟ ᱞᱚᱜᱚᱱ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_target_time,Target,लक्ष्य,ᱞᱟᱠᱷᱟᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_time_pressure,You are being timed,आपका समय गिना जा रहा है,ᱟᱢᱟᱜ ᱚᱠᱛᱚ ᱞᱮᱠᱷᱟ ᱠᱟᱱᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,as_UNKNOWN,Voice input had a problem. Tap instead.,आवाज़ में दिक्कत हुई। टैप करें।,ᱨᱚᱲ ᱵᱚᱞᱚ ᱨᱮ ᱫᱩᱠ ᱦᱩᱭ ᱮᱱᱟ ᱾ ᱛᱚᱯᱟᱣ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,as_UNSUPPORTED,This browser cannot listen for spoken answers.,यह ब्राउज़र बोले गए उत्तर नहीं सुन सकता।,ᱱᱚᱶᱟ ᱵᱨᱟᱣᱡᱚᱨ ᱨᱚᱲ ᱛᱮᱞᱟ ᱵᱟᱝ ᱟᱸᱡᱚᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,as_your_time,Your time,आपका समय,ᱟᱢᱟᱜ ᱚᱠᱛᱚ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_acknowledge,I see it — respond,मैंने देखा — प्रतिक्रिया दें,ᱧᱮᱞ ᱠᱮᱫᱟᱹᱧ — ᱛᱮᱞᱟᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_bad_code,That code could not be read. Scan it again.,यह कोड पढ़ा नहीं गया। फिर स्कैन करें।,ᱱᱚᱶᱟ ᱠᱚᱰ ᱵᱟᱝ ᱯᱟᱲᱦᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾ ᱫᱚᱦᱲᱟ ᱥᱠᱮᱱ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,bd_buddy_down,YOUR BUDDY IS DOWN,आपका बडी गिर गया है,ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱜᱤᱛᱤᱡ ᱟᱠᱟᱱᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_buddy_quiet,No word from your buddy,बडी से कोई खबर नहीं,ᱡᱚᱲᱟᱣ ᱠᱷᱚᱵᱚᱨ ᱵᱟᱝ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_buddy_responsive,Buddy responding,बडी जवाब दे रहा है,ᱡᱚᱲᱟᱣ ᱛᱮᱞᱟ ᱮᱫᱟᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_buddy_score,Your buddy’s result,आपके बडी का परिणाम,ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱯᱷᱚᱞ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_checkin_btn,Buddy is OK,बडी ठीक है,ᱡᱚᱲᱟᱣ ᱴᱷᱤᱠ ᱜᱮᱭᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_checkin_done,Check-in recorded,जांच दर्ज हुई,ᱧᱮᱞ ᱨᱮᱠᱚᱰ ᱦᱩᱭ ᱮᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_checkin_missed,Missed check-in,जांच छूट गई,ᱧᱮᱞ ᱵᱟᱹᱰᱨᱟᱹ ᱮᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_checkin_now,Check on your buddy now,अभी अपने बडी की जांच करें,ᱛᱮᱦᱮᱸ ᱡᱚᱲᱟᱣ ᱧᱮᱞ ᱢᱮ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_checkins_label,Check-ins,जांच,ᱧᱮᱞ ᱠᱚ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_connected,Connected to your buddy,बडी से जुड़ गए,ᱡᱚᱲᱟᱣ ᱦᱩᱭ ᱮᱱᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_connecting,Connecting…,जुड़ रहा है…,ᱡᱚᱲᱟᱣ ᱠᱟᱱᱟ…,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_copied,Copied,कॉपी हो गया,ᱠᱚᱯᱤ ᱦᱩᱭ ᱮᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_copy_code,Copy code,कोड कॉपी करें,ᱠᱚᱰ ᱠᱚᱯᱤ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_desc,"The buddy system is two people watching each other. It cannot be practised alone, so this drill needs two phones — connected directly to each other, with no internet.","बडी सिस्टम का मतलब दो लोग एक-दूसरे का ध्यान रखें। यह अकेले नहीं सीखा जा सकता, इसलिए इस ड्रिल के लिए दो फ़ोन चाहिए — बिना इंटरनेट, सीधे जुड़े हुए।","ᱡᱚᱲᱟᱣ ᱥᱤᱥᱴᱚᱢ ᱫᱚ ᱵᱟᱨᱭᱟ ᱦᱚᱲ ᱢᱤᱫ ᱢᱤᱫᱟᱜ ᱧᱮᱞ ᱠᱟᱱᱟ ᱾ ᱱᱚᱶᱟ ᱮᱠᱞᱟ ᱛᱮ ᱵᱟᱝ ᱛᱟᱞᱤᱢ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ, ᱚᱱᱟᱛᱮ ᱱᱚᱶᱟ ᱛᱟᱞᱤᱢ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱨᱭᱟ ᱯᱷᱚᱱ ᱞᱟᱹᱠᱛᱤ — ᱤᱱᱴᱚᱨᱱᱮᱴ ᱵᱟᱝ ᱠᱟᱛᱮ, ᱥᱚᱡᱷᱮ ᱡᱚᱲᱟᱣ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,bd_disconnected,Your buddy dropped out,आपका बडी डिस्कनेक्ट हो गया,ᱡᱚᱲᱟᱣ ᱛᱩᱴᱟᱹᱣ ᱮᱱᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_end_drill,End drill,ड्रिल खत्म करें,ᱛᱟᱞᱤᱢ ᱢᱩᱪᱟᱹᱫ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_eyebrow,Two-person drill,दो-व्यक्ति ड्रिल,ᱵᱟᱨᱭᱟ ᱦᱚᱲ ᱛᱟᱞᱤᱢ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_failed,Could not connect,जुड़ नहीं सका,ᱵᱟᱝ ᱡᱚᱲᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_failed_hint,"Both phones must be on the same wifi or hotspot. Check that, then try again.","दोनों फ़ोन एक ही वाईफ़ाई या हॉटस्पॉट पर होने चाहिए। जांचें, फिर कोशिश करें।",ᱵᱟᱨᱭᱟ ᱯᱷᱚᱱ ᱢᱤᱫ ᱣᱟᱭᱯᱷᱟᱭ ᱥᱮ ᱦᱚᱴᱥᱯᱚᱴ ᱨᱮ ᱛᱟᱦᱮᱸᱱ ᱞᱟᱹᱠᱛᱤ ᱾ ᱚᱱᱟ ᱧᱮᱞ ᱠᱟᱛᱮ ᱫᱚᱦᱲᱟ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,bd_host_step1,Show this code to your buddy,यह कोड अपने बडी को दिखाएं,ᱱᱚᱶᱟ ᱠᱚᱰ ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱛᱮ ᱩᱫᱩᱜ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_host_step2,Now scan the code they show you,अब उनका दिखाया कोड स्कैन करें,ᱱᱤᱛᱚᱜ ᱩᱱᱤ ᱩᱫᱩᱜ ᱠᱟᱱ ᱠᱚᱰ ᱥᱠᱮᱱ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_i_host,Start a drill,ड्रिल शुरू करें,ᱛᱟᱞᱤᱢ ᱮᱦᱚᱵ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_i_join,Join my buddy,बडी से जुड़ें,ᱡᱚᱲᱟᱣ ᱥᱟᱶ ᱢᱮᱥᱟᱣ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_join_step1,Scan your buddy’s code,अपने बडी का कोड स्कैन करें,ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱠᱚᱰ ᱥᱠᱮᱱ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_join_step2,Show this code back to them,यह कोड उन्हें दिखाएं,ᱱᱚᱶᱟ ᱠᱚᱰ ᱩᱱᱤ ᱛᱮ ᱫᱚᱦᱲᱟ ᱩᱫᱩᱜ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_monitoring_note,Stay alert. You will be asked to check on each other at intervals — and one of you is about to have a problem.,सतर्क रहें। आपसे समय-समय पर एक-दूसरे की जांच करने को कहा जाएगा — और आप में से एक को दिक्कत होने वाली है।,ᱦᱩᱥᱤᱭᱟᱨ ᱛᱟᱦᱮᱸᱱ ᱢᱮ ᱾ ᱚᱠᱛᱚ ᱚᱠᱛᱚ ᱨᱮ ᱢᱤᱫ ᱢᱤᱫᱟᱜ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱠᱷᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ — ᱟᱨ ᱟᱯᱮ ᱠᱷᱚᱱ ᱢᱤᱫ ᱦᱚᱲ ᱨᱮ ᱫᱩᱠ ᱦᱩᱭᱩᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,bd_no_webrtc,This browser cannot make a direct phone-to-phone connection.,यह ब्राउज़र फ़ोन-से-फ़ोन सीधा कनेक्शन नहीं बना सकता।,ᱱᱚᱶᱟ ᱵᱨᱟᱣᱡᱚᱨ ᱯᱷᱚᱱ ᱠᱷᱚᱱ ᱯᱷᱚᱱ ᱥᱚᱡᱷᱮ ᱡᱚᱲᱟᱣ ᱵᱟᱝ ᱛᱮᱭᱟᱨ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,bd_notice_time,Time to notice,ध्यान देने का समय,ᱧᱮᱞ ᱚᱠᱛᱚ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_partial_note,"This drill ended early, so it is recorded as incomplete and does not count toward certification.","यह ड्रिल जल्दी खत्म हुई, इसलिए अपूर्ण दर्ज है और प्रमाणन में नहीं गिनी जाएगी।","ᱱᱚᱶᱟ ᱛᱟᱞᱤᱢ ᱞᱟᱦᱟ ᱢᱩᱪᱟᱹᱫ ᱮᱱᱟ, ᱚᱱᱟᱛᱮ ᱟᱫᱷᱟ ᱞᱮᱠᱟ ᱨᱮᱠᱚᱰ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱟᱨ ᱥᱚᱨᱴᱤᱯᱤᱠᱮᱴ ᱨᱮ ᱵᱟᱝ ᱞᱮᱠᱷᱟᱜᱼᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,bd_paste_instead,Or paste the code as text,या कोड टेक्स्ट में पेस्ट करें,ᱥᱮ ᱠᱚᱰ ᱚᱞ ᱞᱮᱠᱟ ᱮᱢ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_paste_placeholder,Paste JGKP1… here,JGKP1… यहाँ पेस्ट करें,JGKP1… ᱱᱚᱰᱮ ᱮᱢ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_aborted,Drill ended early,ड्रिल जल्दी खत्म,ᱛᱟᱞᱤᱢ ᱞᱟᱦᱟ ᱢᱩᱪᱟᱹᱫ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_briefing,Before entry,प्रवेश से पहले,ᱵᱚᱞᱚ ᱞᱟᱦᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_debrief,Drill complete,ड्रिल पूर्ण,ᱛᱟᱞᱤᱢ ᱦᱩᱭ ᱮᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_distress,Something is wrong,कुछ गलत है,ᱪᱮᱫ ᱵᱷᱩᱞ ᱠᱟᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_entry,At the opening,प्रवेश द्वार पर,ᱵᱚᱞᱚ ᱫᱩᱣᱟᱹᱨ ᱨᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_monitoring,Inside — stay in contact,अंदर — संपर्क बनाए रखें,ᱵᱷᱤᱛᱤᱨ — ᱡᱚᱲᱟᱣ ᱫᱚᱦᱚᱭ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_phase_response,Respond,प्रतिक्रिया दें,ᱛᱮᱞᱟ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_qr_unsupported,This browser cannot scan QR codes. Copy and paste the code text instead.,यह ब्राउज़र QR स्कैन नहीं कर सकता। कोड टेक्स्ट कॉपी-पेस्ट करें।,ᱱᱚᱶᱟ ᱵᱨᱟᱣᱡᱚᱨ QR ᱵᱟᱝ ᱥᱠᱮᱱ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾ ᱠᱚᱰ ᱚᱞ ᱠᱚᱯᱤ ᱠᱟᱛᱮ ᱮᱢ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,bd_role_casualty,the worker inside,अंदर का श्रमिक,ᱵᱷᱤᱛᱤᱨ ᱨᱮᱱ ᱠᱟᱹᱢᱤ ᱦᱚᱲ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_role_responder,the buddy watching,निगरानी करने वाला बडी,ᱧᱮᱞ ᱠᱟᱱ ᱡᱚᱲᱟᱣ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_same_device,Practise on one device,एक डिवाइस पर अभ्यास,ᱢᱤᱫ ᱡᱤᱱᱤᱥ ᱨᱮ ᱛᱟᱞᱤᱢ,,,i18nSantali.js
